FINALT1: failed (1%)
clock N reset start valid displayout done clockcount
0 3F 0 1 1 0x93 0 0x188
0 3F 0 1 0 0x93 0 0x189
0 3F 0 1 0 0x94 0 18A
0 3F 0 1 0 0x94 0 18B
0 3F 0 1 0 0x95 0 18C
0 3F 0 1 0 0x95 0 18D
0 3F 0 1 0 0x96 0 18E
0 3F 0 1 0 0x96 0 18F
0 3F 0 1 0 0x97 0 0x190
0 3F 0 1 0 0x97 0 0x191
0 3F 0 1 0 0x98 0 0x192
0 3F 0 1 0 0x98 0 0x193
0 3F 0 1 0 0x99 0 0x194
0 3F 0 1 0 0x99 0 0x195
0 3F 0 1 0 9A 0 0x196
0 3F 0 1 0 9A 0 0x197
0 3F 0 1 0 9B 0 0x198
0 3F 0 1 1 9B 0 0x199
0 3F 0 1 0 9B 0 19A
0 3F 0 1 0 9C 0 19B
0 3F 0 1 0 9C 0 19C
0 3F 0 1 0 9D 0 19D
0 3F 0 1 0 9D 0 19E
0 3F 0 1 0 9E 0 19F
0 3F 0 1 0 9E 0 1A0
0 3F 0 1 0 9F 0 1A1
0 3F 0 1 1 9F 0 1A2
0 3F 0 1 0 9F 0 1A3
0 3F 0 1 0 A0 0 1A4
0 3F 0 1 0 A0 0 1A5
0 3F 0 1 0 A1 0 1A6
0 3F 0 1 0 A1 0 1A7
0 3F 0 1 0 A2 0 1A8
0 3F 0 1 0 A2 0 1A9
0 3F 0 1 0 A3 0 1AA
0 3F 0 1 0 A3 0 1AB
0 3F 0 1 0 A4 0 1AC
0 3F 0 1 0 A4 0 1AD
0 3F 0 1 0 A5 0 1AE
0 3F 0 1 0 A5 0 1AF
0 3F 0 1 0 A6 0 1B0
0 3F 0 1 1 A6 0 1B1
0 3F 0 1 0 A6 0 1B2
0 3F 0 1 0 A7 0 1B3
0 3F 0 1 0 A7 0 1B4
0 3F 0 1 0 A8 0 1B5
0 3F 0 1 1 A8 0 1B6
0 3F 0 1 1 A8 0 1B7
0 3F 0 1 0 A8 0 1B8
0 3F 0 1 0 A9 0 1B9
0 3F 0 1 0 A9 0 1BA
0 3F 0 1 0 AA 0 1BB
0 3F 0 1 0 AA 0 1BC
0 3F 0 1 0 AB 0 1BD
0 3F 0 1 0 AB 0 1BE
0 3F 0 1 0 AC 0 1BF
0 3F 0 1 0 AC 0 1C0
0 3F 0 1 0 AD 0 1C1
0 3F 0 1 0 AD 0 1C2
0 3F 0 1 0 AE 0 1C3
0 3F 0 1 0 AE 0 1C4
0 3F 0 1 0 AF 0 1C5
0 3F 0 1 0 AF 0 1C6
0 3F 0 1 0 B0 0 1C7
0 3F 0 1 1 B0 0 1C8
0 3F 0 1 0 B0 0 1C9
0 3F 0 1 0 B1 0 1CA
0 3F 0 1 0 B1 0 1CB
0 3F 0 1 0 B2 0 1CC
0 3F 0 1 0 B2 0 1CD
0 3F 0 1 0 B3 0 1CE
0 3F 0 1 0 B3 0 1CF
0 3F 0 1 0 B4 0 1D0
0 3F 0 1 0 B4 0 1D1
0 3F 0 1 0 B5 0 1D2
0 3F 0 1 0 B5 0 1D3
0 3F 0 1 0 B6 0 1D4
0 3F 0 1 0 B6 0 1D5
0 3F 0 1 0 B7 0 1D6
0 3F 0 1 1 B7 0 1D7
0 3F 0 1 0 B7 0 1D8
0 3F 0 1 0 B8 0 1D9
0 3F 0 1 1 B8 0 1DA
0 3F 0 1 0 B8 0 1DB
0 3F 0 1 0 B9 0 1DC
0 3F 0 1 1 B9 0 1DD
0 3F 0 1 0 B9 0 1DE
0 3F 0 1 0 BA 0 1DF
0 3F 0 1 0 BA 0 1E0
0 3F 0 1 0 BB 0 1E1
0 3F 0 1 1 BB 0 1E2
0 3F 0 1 0 BB 0 1E3
0 3F 0 1 0 BC 0 1E4
0 3F 0 1 0 BC 0 1E5
0 3F 0 1 0 BD 0 1E6
0 3F 0 1 1 BD 0 1E7
0 3F 0 1 0 BD 0 1E8
0 3F 0 1 0 BE 0 1E9
0 3F 0 1 0 BE 0 1EA
0 3F 0 1 0 BF 0 1EB
0 3F 0 1 0 BF 0 1EC
0 3F 0 1 0 C0 0 1ED
0 3F 0 1 0 C0 0 1EE
0 3F 0 1 0 C1 0 1EF
0 3F 0 1 0 C1 0 1F0
0 3F 0 1 0 C2 0 1F1
0 3F 0 1 1 C2 0 1F2
0 3F 0 1 0 C2 0 1F3
0 3F 0 1 0 C3 0 1F4
0 3F 0 1 0 C3 0 1F5
0 3F 0 1 0 C4 0 1F6
0 3F 0 1 0 C4 0 1F7
0 3F 0 1 0 C5 0 1F8
0 3F 0 1 0 C5 0 1F9
0 3F 0 1 0 C6 0 1FA
0 3F 0 1 0 C6 0 1FB
0 3F 0 1 0 C7 0 1FC
0 3F 0 1 0 C7 0 1FD
0 3F 0 1 0 C8 0 1FE
0 3F 0 1 0 C8 0 1FF
0 3F 0 1 0 C9 0 0x200
0 3F 0 1 0 C9 0 0x201
0 3F 0 1 0 CA 0 0x202
0 3F 0 1 1 CA 0 0x203
0 3F 0 1 0 CA 0 0x204
0 3F 0 1 0 CB 0 0x205
0 3F 0 1 0 CB 0 0x206
0 3F 0 1 0 CC 0 0x207
0 3F 0 1 0 CC 0 0x208
0 3F 0 1 0 CD 0 0x209
0 3F 0 1 0 CD 0 20A
0 3F 0 1 0 CE 0 20B
0 3F 0 1 1 CE 0 20C
0 3F 0 1 0 CE 0 20D
0 3F 0 1 0 CF 0 20E
0 3F 0 1 1 CF 0 20F
0 3F 0 1 1 CF 0 0x210
0 3F 0 1 0 CF 0 0x211
0 3F 0 1 0 D0 0 0x212
0 3F 0 1 0 D0 0 0x213
0 3F 0 1 0 D1 0 0x214
0 3F 0 1 0 D1 0 0x215
0 3F 0 1 0 D2 0 0x216
0 3F 0 1 0 D2 0 0x217
0 3F 0 1 0 D3 0 0x218
0 3F 0 1 0 D3 0 0x219
0 3F 0 1 0 D4 0 21A
0 3F 0 1 0 D4 0 21B
0 3F 0 1 0 D5 0 21C
0 3F 0 1 0 D5 0 21D
0 3F 0 1 0 D6 0 21E
0 3F 0 1 1 D6 0 21F
0 3F 0 1 0 D6 0 0x220
0 3F 0 1 0 D7 0 0x221
0 3F 0 1 0 D7 0 0x222
